SalesKey,DateKey,SalesQuantity,SaleAmount,ProfitAmount,Region,States,ProductName,ProductCategoryName,ProductSubcategoryName,Feedback
49,2018-04-03,1,75.83,100.0,93110,ROSNY SOUS BOIS,DIVERS,DIVERS,PARE BRISE SEAT AROSA 7607AGNVZ,4
50,2018-06-09,1,100.0,100.0,94700,MAISONS ALFORT,DIVERS,DIVERS,kit de distribution,10
50,2018-06-09,1,10.0,100.0,94700,MAISONS ALFORT,DIVERS,DIVERS,FILTRE HUILE,10
51,2018-11-27,1,46.08,100.0,93420,VILLEPINTE,DIVERS,DIVERS,Remplacer /deposer-poser : retroviseur ext av (gauche),10
54,2019-07-17,1,90.27,0.0,95110,SANNOIS,DIVERS,AGC,Kit enjoliveur pare-brise,9
55,2019-09-09,1,84.17,100.0,94700,MAISONS ALFORT,DIVERS,DIVERS,PARE BRISE VW POLO 8573AGSMVZ,8
55,2019-09-09,1,35.85,100.0,94700,MAISONS ALFORT,DIVERS,DIVERS,KIT COLLAGE ,8
57,2019-12-17,1,258.62,0.0,95200,SARCELLES,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert solar,2
58,2020-02-06,1,1398.83,100.0,93430,VILLETANEUSE,DIVERS,DIVERS,PROJECTEUR G REEMPLOI,5
58,2020-02-06,1,151.93,0.0,93430,VILLETANEUSE,DIVERS,MERCEDES,PARE-BRISE,5
60,2020-06-02,1,1156.22,0.0,91300,MASSY,DIVERS,CITROEN,PARE-BRISE V (POUR VERSIONS 5 PLACES),0
61,2020-07-07,1,111.15,100.0,93240,STAINS,DIVERS,DIVERS,[3750BGSVLW] LUNETTE ARRIERE GAUCHE TEINTE VERT CHAUFFANT BOXER/JUMPER2/D 06-,6
62,2020-08-31,1,315.89,0.0,93140,BONDY,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert dégradé vert,10
62,2020-08-31,1,99.17,100.0,93140,BONDY,DIVERS,DIVERS,JOINT PETITE VITRE INFERIEUR REF/14527524,10
63,2020-12-01,1,471.87,0.0,93420,VILLEPINTE,DIVERS,FORD (EU),PARE-BRISE V (TOIT HAUT),5
63,2020-12-01,1,223.92,0.0,93420,VILLEPINTE,DIVERS,AGC,Kit PB Clair + accessoires,5
64,2021-02-23,1,87.69,0.0,93200,ST DENIS,DIVERS,PILKINGTON (EUROCODE),Enjoliveur pare-brise,6
65,2021-05-18,1,76.39,100.0,95500,GONESSE,DIVERS,DIVERS,filtre a aire / filtre a gasoil / filtre a huile ,10
65,2021-05-18,1,347.03,0.0,95500,GONESSE,DIVERS,AGC,Pare-brise vert,10
69,2022-06-17,1,636.13,0.0,95400,VILLIERS LE BEL,DIVERS,PEUGEOT,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (YC JT/ACOUSTIQUE),1
69,2022-06-17,1,36.67,100.0,95400,VILLIERS LE BEL,DIVERS,DIVERS,VITRE ARD VOLKSWAGEN T4  8537RCLV2RQ,1
70,2022-09-29,1,6.94,100.0,93420,VILLEPINTE,DIVERS,DIVERS,LIQUIDE DE REFROIDISSEMENT,5
71,2023-02-01,1,4.97,0.0,95100,ARGENTEUIL,DIVERS,MERCEDES,JOINT PARE-BRISE SUP (SAUF PAVILLON PANORAMIQUE),1
73,2018-06-11,1,382.58,0.0,93200,ST DENIS,DIVERS,AUDI,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (+EMBASE RETRO/DEGRADE),0
