States,Region,SalesKey,Civilité,Feedback,DateKey
PIERREFITTE SUR SEINE,93380,2237,3,3,2019-08-06
AUBERVILLIERS,93300,2238,3,6,2019-11-19
MONTREUIL,93100,2239,3,0,2020-01-07
XXXX,,2240,5,1,2020-02-27
PIERREFITTE SUR SEINE,93380,2241,3,0,2020-06-15
DEUIL LA BARRE,95170,2242,2,6,2020-07-25
ARGENTEUIL,95100,2243,3,7,2020-09-24
SARCELLES,95200,2244,1,10,2020-12-29
GARGES LES GONESSE,95140,2245,1,7,2021-03-18
L ILE ST DENIS,93450,2246,1,1,2022-02-01
L HAY LES ROSES,94240,2247,1,8,2022-05-06
PIERREFITTE SUR SEINE,93380,2248,3,8,2022-07-25
CLICHY,92110,2249,3,1,2022-11-11
SOISY SOUS MONTMORENCY,95230,2250,3,0,2023-05-12
SARCELLES,95200,2251,1,4,2023-07-20
LE MANS,72100,2252,3,9,2024-03-23
OTHIS,77280,2253,1,4,2024-06-21
VILLEMOMBLE,93250,2254,3,5,2018-04-28
ST OUEN,93400,2255,1,5,2018-07-02
SARCELLES,95200,2256,5,9,2018-10-04
VILLIERS LE BEL,95400,2257,3,7,2019-02-27
MONTMAGNY,95360,2258,3,9,2019-06-26
PANTOISE,95300,2259,3,8,2019-08-06
ARNOUVILLE LES GONESSE,95400,2260,3,10,2019-09-28
EPINAY SUR SEINE,93800,2261,3,7,2019-11-19
EPINAY SUR SEINE,93800,2262,3,8,2020-01-07
 DEUIL LA BARRE,95170,2263,1,0,2020-05-12
SAVIGNY SUR ORGE,91600,2264,3,0,2020-06-15
TRILPORT,77470,2265,3,7,2020-07-25
ST DENIS,93200,2266,3,0,2020-09-24
DAMMARTIN EN GOELE,77230,2267,3,4,2020-12-29
PIERREFITTE SUR SEINE,93380,2268,3,8,2021-03-18
EZANVILLE,95460,2269,3,0,2021-06-16
PIERREFITTE SUR SEINE,93380,2270,3,1,2021-08-16
LA PLAINE ST DENIS,93210,2271,3,5,2021-11-16
BONDY,93140,2272,2,8,2022-02-01
SARCELLES,95200,2273,3,6,2022-05-06
ST DENIS,93200,2274,3,6,2022-11-11
PARIS 19EME ARRONDISSEMENT,75019,2275,3,10,2023-02-27
PARIS 10EME ARRONDISSEMENT,75010,2276,5,5,2023-05-12
GENNEVILLIERS,92230,2277,3,8,2023-09-15
PARIS 19EME ARRONDISSEMENT,75019,2278,2,10,2024-03-23
CHALON SUR SAONE,71100,2279,1,1,2024-06-21
,,2280,3,8,2018-04-28
STAINS,93240,2281,5,6,2018-12-15
ST BRICE SOUS FORET,95350,2282,3,0,2019-02-27
ST DENIS,93200,2283,3,8,2019-08-06
SARCELLES,95200,2284,5,4,2019-09-28
PIERREFITTE SUR SEINE,93380,2285,1,8,2020-01-07
ARGENTEUIL,95100,2286,3,5,2020-06-15
LA COURNEUVE,93120,2287,3,7,2020-07-25
MONTIGNY LES CORMEILLES,95370,2288,3,2,2020-09-24
VILLETANEUSE,93430,2289,3,5,2020-12-29
ARNOUVILLE LES GONESSE,95400,2290,3,7,2021-03-18
PIERREFITTE SUR SEINE,93380,2291,3,6,2021-11-16
BELLOY EN FRANCE,95270,2292,1,8,2022-02-01
VILLIERS LE BEL,95400,2293,3,3,2023-02-27
FOSSES,95470,2294,1,4,2023-12-05
BOULOGNE BILLANCOURT,92100,2295,5,7,2024-06-21
EPINAY SUR SEINE,93800,2296,1,6,2018-10-04
LE BLANC MESNIL,93150,2297,3,4,2018-12-17
ASNIERES SUR OISE,95270,2298,3,8,2019-02-27
VILLIERS LE BEL,95400,2299,1,8,2019-05-04
MONTIGNY LES CORMEILLES,95370,2300,3,3,2019-08-06
PIERREFITTE SUR SEINE,93380,2301,1,8,2019-09-28
PIERREFITTE SUR SEINE,93380,2302,3,7,2020-01-08
PIERREFITTE SUR SEINE,93380,2303,3,9,2020-06-16
DRANCY,93700,2304,3,4,2020-09-24
GARGES LES GONESSE,95140,2305,3,5,2020-12-30
VILLIERS LE BEL,95400,2306,3,0,2021-03-18
BREUILLET,91650,2307,3,8,2021-06-16
MONTMAGNY,95360,2308,3,4,2021-08-16
VILLETANEUSE,93430,2309,3,10,2021-11-16
MONTMORENCY,95160,2310,1,10,2022-02-02
AULNAY SOUS BOIS,93600,2311,1,1,2022-05-09
BOIS COLOMBES,92270,2312,3,10,2022-07-25
NARGIS,45210,2313,1,5,2022-11-11
PIERREFITTE SUR SEINE,93380,2314,3,7,2023-02-27
GARGES LES GONESSE,95140,2315,1,9,2023-05-13
AULNAY SOUS BOIS,93600,2316,1,4,2023-07-20
GENTILLY,94250,2317,3,4,2023-09-16
EPINAY SUR SEINE,93800,2318,3,8,2023-12-05
PARIS 18EME ARRONDISSEMENT,75018,2319,3,7,2024-03-25
BRETIGNY SUR ORGE,91220,2320,1,4,2024-06-21
LES LILAS,93260,2321,3,3,2018-04-30
SARCELLES,95200,2322,3,3,2018-12-17
STAINS,93240,2323,3,0,2019-02-27
ROSNY SOUS BOIS,93110,2324,2,9,2019-05-04
BOUFFEMONT,95570,2325,3,1,2019-09-28
GARGES LES GONESSE,95140,2326,3,0,2019-11-19
EAUBONNE,95600,2327,3,9,2020-09-24
DEUIL LA BARRE,95170,2328,5,9,2020-12-30
AULNAY SOUS BOIS,93600,2329,3,6,2021-03-18
STAINS,93240,2330,3,8,2021-08-16
CLICHY SOUS BOIS,93390,2331,3,7,2021-11-16
NOISY LE SEC,93130,2332,3,0,2022-02-03
SARCELLES,95200,2333,1,9,2022-05-09
CERGY,95800,2334,1,4,2022-07-25
LE BOURGET,93350,2335,3,0,2022-11-14
EPINAY SUR SEINE,93800,2336,3,7,2023-02-27
COURBEVOIE,92400,2337,1,5,2023-07-20
ST OUEN L AUMONE,95310,2338,3,7,2023-09-19
LOUVRES,95380,2339,3,0,2023-12-06
GENNEVILLIERS,92230,2340,3,0,2024-03-25
CHATEAU THIERRY,2400,2341,3,9,2024-06-22
PIERREFITTE SUR SEINE,93380,2342,3,9,2018-07-03
PIERREFITTE SUR SEINE,93380,2343,3,10,2018-10-05
PIERREFITTE SUR SEINE,93380,2344,3,5,2018-12-17
STAINS,93240,2345,3,1,2019-02-27
VILLIERS SUR MARNE,94350,2346,1,9,2019-05-04
LA COURNEUVE,93120,2347,3,8,2019-06-27
SARCELLES,95200,2348,3,7,2019-09-28
GOUSSAINVILLE,95190,2349,3,4,2020-01-08
ARGENTEUIL,95100,2350,3,4,2020-06-16
EPINAY SUR SEINE,93800,2351,3,5,2020-07-27
GARGES LES GONESSE,95140,2352,3,5,2020-09-24
VILLENEUVE LA GARENNE,92390,2353,3,9,2021-03-18
MONTMAGNY,95360,2354,3,10,2021-08-16
DRANCY,93700,2355,3,8,2022-05-09
STAINS,93240,2356,1,1,2022-11-14
LA COURNEUVE,93120,2357,3,8,2023-07-21
GARGES LES GONESSE,95140,2358,3,3,2023-09-19
CONFLANS STE HONORINE,78700,2359,3,9,2023-12-06
SARCELLES,95200,2360,3,1,2024-03-25
GOUSSAINVILLE,95190,2361,3,4,2024-06-22
PIERREFITTE SUR SEINE,93380,2362,3,4,2018-10-05
STAINS,93240,2363,1,5,2018-12-17
.,,2364,3,9,2019-02-27
.,,2365,5,7,2019-05-04
VILLEPINTE,93420,2366,1,5,2019-09-28
MONTMAGNY,95360,2367,3,10,2020-01-08
SARCELLES,95200,2368,5,4,2020-02-27
VILLIERS LE BEL,95400,2369,1,3,2020-05-13
NOISY LE GRAND,93160,2370,3,7,2020-06-16
STAINS,93240,2371,3,1,2020-09-25
STAINS,93240,2372,3,8,2021-03-18
LEVALLOIS PERRET,92300,2373,3,1,2021-06-17
PARIS 20EME ARRONDISSEMENT,75020,2374,3,2,2021-11-16
TREMBLAY EN FRANCE,93290,2375,3,5,2022-05-09
GOUSSAINVILLE,95190,2376,3,0,2022-07-26
AUBERVILLIERS,93300,2377,3,0,2022-11-14
DRANCY,93700,2378,3,2,2023-02-28
GARGES LES GONESSE,95140,2379,3,0,2023-05-15
STAINS,93240,2380,3,6,2023-09-19
NANTERRE,92000,2381,3,10,2023-12-06
ELANCOURT,78990,2382,3,5,2024-03-25
DRANCY,93700,2383,1,5,2024-06-24
PIERREFITTE SUR SEINE,93380,2384,3,3,2018-05-02
CERGY,95000,2385,3,4,2018-10-08
STAINS,93240,2386,1,2,2018-12-17
PIERREFITTE SUR SEINE,93380,2387,3,0,2019-08-07
SARCELLES,95200,2388,1,8,2019-09-28
MONTREUIL,93100,2389,3,7,2020-01-08
PIERREFITTE SUR SEINE,93380,2390,5,6,2020-02-28
CERGY,95000,2391,3,7,2020-05-13
EPINAY SUR SEINE,93800,2392,1,4,2020-06-16
PARIS 18EME ARRONDISSEMENT,75018,2393,1,4,2020-07-28
PIERREFITTE SUR SEINE,93380,2394,3,9,2020-12-31
VILLIERS LE BEL,95400,2395,3,9,2021-06-17
VILLEPINTE,93420,2396,3,7,2021-08-16
GARGES LES GONESSE,95140,2397,3,3,2021-11-16
ASNIERES SUR SEINE,92600,2398,3,4,2022-02-03
MEAUX,77100,2399,3,4,2022-11-14
ST DENIS,93200,2400,3,2,2023-02-28
SAVIGNY LE TEMPLE,77176,2401,1,4,2023-05-16
ST DENIS,93200,2402,3,1,2023-07-21
STAINS,93240,2403,3,4,2023-09-19
LA COURNEUVE,93120,2404,3,10,2023-12-06
AUBERVILLIERS,93300,2405,3,10,2024-03-26
PIERREFITTE SUR SEINE,93380,2406,3,10,2024-06-24
GOUSSAINVILLE,95190,2407,1,4,2018-05-02
VILLEPINTE,93420,2408,3,4,2018-07-04
CERGY,95000,2409,3,1,2018-10-08
EPERNAY,51200,2410,3,7,2019-05-06
GENNEVILLIERS,92230,2411,3,4,2019-06-27
SARCELLES,95200,2412,3,7,2019-08-07
RILLIEUX LA PAPE,69140,2413,2,7,2019-09-28
PIERREFITTE SUR SEINE,93380,2414,3,5,2020-01-08
VILLETANEUSE,93430,2415,5,5,2020-02-28
BOBIGNY,93000,2416,2,2,2020-07-28
PIERREFITTE SUR SEINE,93380,2417,1,10,2020-09-25
SARCELLES,95200,2418,1,6,2020-12-31
STAINS,93240,2419,3,8,2021-03-23
PARIS 12EME ARRONDISSEMENT,75012,2420,3,5,2021-06-17
MONTREUIL,93100,2421,3,10,2021-08-16
REIMS,51100,2422,3,6,2021-11-17
CHANTILLY,60500,2423,3,5,2022-02-04
PARIS 12EME ARRONDISSEMENT,75012,2424,3,10,2022-11-14
AUBERVILLIERS,93300,2425,3,6,2023-02-28
MONTMAGNY,95360,2426,3,1,2023-05-16
ST DENIS,93200,2427,3,9,2023-09-19
MONTREUIL,93100,2428,1,10,2024-03-26
MONTREUIL,93100,2429,3,8,2024-06-25
SAVIGNY LE TEMPLE,77176,2430,1,1,2018-05-02
ST OUEN,93400,2431,3,10,2018-07-04
PARIS 20EME ARRONDISSEMENT,75020,2432,3,8,2018-10-08
SARCELLES,95200,2433,5,6,2018-12-18
ST DENIS,93200,2434,3,6,2019-03-01
STAINS,93240,2435,3,8,2019-05-06
DUGNY,93440,2436,3,4,2019-06-27
DUGNY,93440,2437,3,10,2019-08-07
GOUSSAINVILLE,95190,2438,1,8,2019-11-20
VILLIERS LE BEL,95400,2439,5,5,2020-05-14
CRETEIL,94000,2440,3,6,2020-07-28
AUBERVILLIERS,93300,2441,1,4,2020-09-25
TREMBLAY EN FRANCE,93290,2442,3,8,2021-03-23
GOUSSAINVILLE,95190,2443,3,9,2021-06-17
PARIS 18EME ARRONDISSEMENT,75018,2444,1,10,2021-08-16
EPINAY SUR SEINE,93800,2445,3,3,2022-02-04
DRANCY,93700,2446,3,9,2022-05-09
DOMONT,95330,2447,3,9,2022-07-27
VILLETANEUSE,93430,2448,3,2,2022-11-14
ASNIERES SUR SEINE,92600,2449,3,3,2023-03-01
ASNIERES SUR SEINE,92600,2450,3,2,2023-09-19
PIERREFITTE SUR SEINE,93380,2451,3,3,2023-12-07
PIERREFITTE SUR SEINE,93380,2452,3,5,2024-03-26
MONTSOULT,95560,2453,3,0,2024-06-25
VILLIERS LE BEL,95400,2454,3,4,2018-05-02
PARIS 20EME ARRONDISSEMENT,75020,2455,3,8,2018-07-04
PARIS 20EME ARRONDISSEMENT,75020,2456,3,2,2018-10-08
SARCELLES,95200,2457,3,3,2018-12-18
NANTERRE,92000,2458,3,1,2019-03-01
BOUBIERS,60240,2459,3,3,2019-06-28
PIERREFITTE SUR SEINE,93380,2460,1,7,2019-08-07
LES PAVILLONS SOUS BOIS,93320,2461,1,7,2019-09-28
VILLEMOMBLE,93250,2462,3,10,2019-11-20
PIERREFITTE SUR SEINE,93380,2463,2,4,2020-01-08
ST DENIS,93200,2464,5,6,2020-02-29
CREIL,60100,2465,3,7,2020-05-14
SARCELLES,95200,2466,3,9,2020-07-28
LA COURNEUVE,93120,2467,3,0,2020-09-25
GENTILLY,94250,2468,3,10,2021-06-17
.,,2469,5,4,2021-08-17
ARGENTEUIL,95100,2470,3,0,2021-11-17
BONDY,93140,2471,3,0,2022-02-04
SEVRAN,93270,2472,3,4,2022-07-27
STAINS,93240,2473,2,2,2023-03-02
STAINS,93240,2474,3,6,2023-05-16
ORLY SUR MORIN,77750,2475,1,6,2023-07-21
ST DENIS,93200,2476,3,5,2023-09-19
VILLENEUVE LE ROI,94290,2477,1,5,2023-12-07
DRANCY,93700,2478,1,10,2024-06-25
ST DENIS,93200,2479,3,1,2018-05-02
BONDY,93140,2480,3,2,2018-10-08
MONTMAGNY,95360,2481,3,4,2018-12-18
CHAMBLY,60230,2482,3,5,2019-06-28
MONTMORENCY,95160,2483,3,5,2019-08-08
PIERREFITTE SUR SEINE,93380,2484,2,6,2020-01-08
CHAMPIGNY SUR MARNE,94500,2485,3,4,2020-02-29
PARIS 18EME ARRONDISSEMENT,75018,2486,3,6,2020-07-29
VILLETANEUSE,93430,2487,3,3,2021-03-25
AUBERVILLIERS,93300,2488,3,3,2021-06-17
STAINS,93240,2489,3,4,2022-02-04
PARIS 1ER ARRONDISSEMENT,75001,2490,3,10,2022-07-27
PARIS 16EME ARRONDISSEMENT,75016,2491,3,5,2023-03-02
PARIS 15EME ARRONDISSEMENT,75015,2492,1,4,2023-05-16
GENNEVILLIERS,92230,2493,1,8,2023-12-08
.,,2494,5,5,2018-05-02
SARCELLES,95200,2495,3,10,2018-07-05
BONDY,93140,2496,3,5,2018-10-08
PIERREFITTE SUR SEINE,93380,2497,3,10,2019-03-04
GARGES LES GONESSE,95140,2498,3,1,2019-05-06
PARIS 18EME ARRONDISSEMENT,75018,2499,3,1,2019-06-28
PIERREFITTE SUR SEINE,93380,2500,3,5,2019-09-28
GOUSSAINVILLE,95190,2501,3,6,2019-11-20
METZ,57070,2502,5,2,2020-02-29
STAINS,93240,2503,3,8,2020-07-29
ST DENIS,93200,2504,3,4,2021-03-25
FONTENAY EN PARISIS,95190,2505,3,5,2021-11-17
ECOUEN,95440,2506,3,0,2022-05-10
GARGES LES GONESSE,95140,2507,3,6,2022-07-28
LE BLANC MESNIL,93150,2508,3,3,2023-03-03
PIERREFITTE SUR SEINE,93380,2509,3,7,2023-05-17
ST CYR L ECOLE,78210,2510,3,10,2023-07-22
VILLEPINTE,93420,2511,1,7,2023-09-19
GENNEVILLIERS,92230,2512,1,9,2023-12-08
FONTENAY SOUS BOIS,94120,2513,3,0,2024-03-26
MEYLAN,38240,2514,3,5,2018-05-02
PARIS 18EME ARRONDISSEMENT,75018,2515,3,4,2018-07-05
MONTMAGNY,95360,2516,1,4,2018-12-18
BOUFFEMONT,95570,2517,5,4,2019-03-04
DRANCY,93700,2518,3,3,2019-05-06
VILLEPARISIS,77270,2519,2,0,2019-06-28
EZANVILLE,95460,2520,1,3,2019-11-20
SEVRAN,93270,2521,3,2,2020-03-02
PARIS 5EME ARRONDISSEMENT,75005,2522,3,9,2020-05-14
MONTREUIL,93100,2523,1,0,2020-06-17
ST DENIS,93200,2524,3,8,2020-09-28
RUEIL MALMAISON,92500,2525,3,3,2021-03-25
LE BLANC MESNIL,93150,2526,3,10,2021-08-18
VILLIERS LE BEL,95400,2527,3,7,2021-11-18
ST DENIS,93200,2528,3,7,2022-02-05
COURBEVOIE,92400,2529,3,1,2022-07-28
LA COURNEUVE,93120,2530,3,6,2022-11-16
LE BLANC MESNIL,93150,2531,3,2,2023-03-03
ST DENIS,93200,2532,3,9,2023-05-17
ARGENTEUIL,95100,2533,3,0,2023-07-22
STAINS,93240,2534,3,7,2023-12-08
VILLETANEUSE,93430,2535,3,7,2024-03-26
PIERREFITTE SUR SEINE,93380,2536,3,2,2018-05-02
PIERREFITTE SUR SEINE,93380,2537,3,6,2018-07-05
LA PLAINE ST DENIS,93210,2538,3,7,2018-10-08
MONTMAGNY,95360,2539,1,3,2018-12-18
SARCELLES,95200,2540,3,3,2019-03-05
ST DENIS,93200,2541,3,10,2019-09-30
ST BRICE SOUS FORET,95350,2542,1,1,2020-03-02
GENNEVILLIERS,92230,2543,3,9,2020-06-17
PARIS 19EME ARRONDISSEMENT,75019,2544,1,3,2021-11-18
VILLETANEUSE,93430,2545,3,4,2022-05-10
MONTMAGNY,95360,2546,5,3,2022-07-28
STAINS,93240,2547,3,4,2022-11-16
ST DENIS,93200,2548,1,3,2023-03-03
GOUSSAINVILLE,95190,2549,3,0,2023-09-20
ST OUEN SUR SEINE,93400,2550,3,4,2024-03-27
GENTILLY,94250,2551,3,0,2024-06-26
ST DENIS,93200,2552,3,5,2018-07-05
PARIS 18EME ARRONDISSEMENT,75018,2553,3,5,2018-12-18
NANCY,54000,2554,3,8,2019-05-07
LA COURNEUVE,93120,2555,3,3,2019-06-28
PIERREFITTE SUR SEINE,93380,2556,3,1,2019-08-08
SARCELLES,95200,2557,3,10,2019-09-30
GONESSE,95500,2558,1,3,2019-11-20
DRANCY,93700,2559,1,5,2020-03-02
ST DENIS,93200,2560,1,9,2020-05-14
ST DENIS,93200,2561,3,10,2020-07-29
EPINAY SUR SEINE,93800,2562,3,3,2020-09-28
GAGNY,93220,2563,3,10,2021-01-05
AUBERVILLIERS,93300,2564,3,8,2021-03-29
NOISY LE SEC,93130,2565,2,5,2021-08-18
SUCY EN BRIE,94370,2566,3,3,2022-02-07
STAINS,93240,2567,3,0,2022-05-10
STAINS,93240,2568,3,8,2022-11-17
VILLETANEUSE,93430,2569,3,0,2023-03-03
AUBERVILLIERS,93300,2570,3,6,2023-07-22
SARCELLES,95200,2571,3,10,2023-12-09
ST GRATIEN,95210,2572,1,8,2024-03-27
PIERREFITTE SUR SEINE,93380,2573,1,0,2024-06-26
TAVERNY,95150,2574,3,6,2018-05-03
NOISY LE SEC,93130,2575,3,4,2018-07-05
PARIS 18EME ARRONDISSEMENT,75018,2576,3,8,2018-12-18
ST BRICE SOUS FORET,95350,2577,1,9,2019-05-07
PIERREFITTE SUR SEINE,93380,2578,1,10,2019-06-28
PIERREFITTE SUR SEINE,93380,2579,3,2,2019-08-08
NANGIS,77370,2580,3,3,2019-11-21
STAINS,93240,2581,3,3,2020-01-08
PIERREFITTE SUR SEINE,93380,2582,1,4,2020-05-14
AUBERVILLIERS,93300,2583,2,1,2020-07-29
MALAKOFF,92240,2584,3,6,2020-09-28
FOSSES,95470,2585,3,4,2021-08-18
GARGES LES GONESSE,95140,2586,3,3,2021-11-19
GENNEVILLIERS,92230,2587,3,10,2022-02-07
STAINS,93240,2588,3,5,2022-11-18
PARIS 14EME ARRONDISSEMENT,75014,2589,3,7,2023-05-18
PARIS 15EME ARRONDISSEMENT,75015,2590,3,0,2023-09-20
LIVRY GARGAN,93190,2591,3,2,2023-12-09
CLICHY,92110,2592,3,4,2024-03-27
STAINS,93240,2593,3,5,2018-07-05
DRANCY,93700,2594,3,10,2019-05-07
MAUBEUGE,59600,2595,3,6,2019-06-28
ST DENIS,93200,2596,1,4,2019-08-08
NANTERRE,92000,2597,3,4,2019-09-30
STAINS,93240,2598,3,0,2020-01-09
AUBERVILLIERS,93300,2599,5,6,2020-03-02
NANTERRE,92000,2600,2,9,2020-05-14
GENNEVILLIERS,92230,2601,3,10,2020-07-30
GARGES LES GONESSE,95140,2602,1,6,2020-09-28
GOUSSAINVILLE,95190,2603,3,9,2021-01-08
BOBIGNY,93000,2604,3,9,2021-03-29
RIS ORANGIS,91130,2605,5,2,2021-06-19
DUGNY,93440,2606,3,8,2021-08-18
PIERREFITTE SUR SEINE,93380,2607,3,7,2021-11-19
NOISY LE SEC,93130,2608,3,6,2022-02-07
AULNAY SOUS BOIS,93600,2609,1,10,2022-05-11
STAINS,93240,2610,3,5,2023-03-03
IVRY SUR SEINE,94200,2611,3,10,2023-05-18
PUTEAUX,92800,2612,3,8,2023-07-24
CHEVRAINVILLIERS,77760,2613,2,1,2023-09-20
PIERREFITTE SUR SEINE,93380,2614,3,6,2023-12-11
VILLIERS LE BEL,95400,2615,3,2,2024-03-27
MONTMAGNY,95360,2616,3,4,2018-05-03
DRANCY,93700,2617,3,9,2018-12-18
STAINS,93240,2618,5,1,2019-03-06
ST DENIS,93200,2619,3,5,2019-09-30
ACHERES,78260,2620,3,9,2019-11-21
PIERREFITTE SUR SEINE,93380,2621,5,3,2020-03-02
PARIS 20EME ARRONDISSEMENT,75020,2622,3,7,2020-05-15
PARIS 18EME ARRONDISSEMENT,75018,2623,3,6,2020-06-17
PIERREFITTE SUR SEINE,93380,2624,1,5,2021-01-11
PIERREFITTE SUR SEINE,93380,2625,3,3,2021-03-29
VINCENNES,94300,2626,1,4,2021-08-18
PIERREFITTE SUR SEINE,93380,2627,3,3,2021-11-22
DRANCY,93700,2628,3,3,2022-05-11
LE BLANC MESNIL,93150,2629,3,10,2022-07-30
PIERREFITTE SUR SEINE,93380,2630,3,1,2022-11-19
STAINS,93240,2631,3,9,2023-03-03
VILLEPARISIS,77270,2632,1,9,2023-05-18
PIERREFITTE SUR SEINE,93380,2633,3,7,2023-07-25
STAINS,93240,2634,3,6,2023-09-21
VILLEPINTE,93420,2635,3,7,2023-12-11
AUBERVILLIERS,93300,2636,3,0,2024-06-27
PARIS 11EME ARRONDISSEMENT,75011,2637,1,1,2018-05-03
BOBIGNY,93000,2638,3,10,2018-12-18
LA PLAINE ST DENIS,93210,2639,3,9,2019-03-06
SARCELLES,95200,2640,1,6,2019-06-29
PIERREFITTE SUR SEINE,93380,2641,3,7,2019-08-09
PIERREFITTE SUR SEINE,93380,2642,3,8,2019-09-30
ST DENIS,93200,2643,3,9,2020-01-09
VILLETANEUSE,93430,2644,3,10,2020-03-02
GARGES LES GONESSE,95140,2645,3,7,2020-06-17
MONTMAGNY,95360,2646,3,1,2020-07-30
LA COURNEUVE,93120,2647,3,0,2020-09-28
ARNOUVILLE LES GONESSE,95400,2648,1,0,2021-03-29
MERU,60110,2649,3,2,2021-06-21
VELIZY VILLACOUBLAY,78140,2650,3,1,2021-08-19
GOUSSAINVILLE,95190,2651,1,4,2021-11-22
PIERREFITTE SUR SEINE,93380,2652,3,5,2022-02-07
DRANCY,93700,2653,3,8,2022-05-11
ST DENIS,93200,2654,1,5,2022-08-01
ST DENIS,93200,2655,3,1,2023-05-19
CREIL,60100,2656,1,7,2023-07-25
LA VILLE DU BOIS,91620,2657,3,9,2023-09-21
VILLEPINTE,93420,2658,3,9,2023-12-11
GENNEVILLIERS,92230,2659,3,7,2024-03-28
PARIS 17EME ARRONDISSEMENT,75017,2660,3,0,2024-06-28
LA CELLE ST CLOUD,78170,2661,3,0,2018-07-07
BOIS COLOMBES,92270,2662,3,1,2018-10-09
VITRY SUR SEINE,94400,2663,3,0,2018-12-19
BROU SUR CHANTEREINE,77177,2664,3,0,2019-03-06
PIERREFITTE SUR SEINE,93380,2665,1,0,2019-05-07
DRANCY,93700,2666,3,3,2019-06-29
CERGY,95800,2667,3,9,2019-08-09
PARIS 18EME ARRONDISSEMENT,75018,2668,3,0,2019-11-21
PIERREFITTE SUR SEINE,93380,2669,5,2,2020-03-02
ST DENIS,93200,2670,3,9,2020-06-17
DEUIL LA BARRE,95170,2671,1,1,2020-08-01
ST DENIS,93200,2672,1,1,2020-09-28
EPINAY SUR SEINE,93800,2673,3,7,2021-01-11
PIERREFITTE SUR SEINE,93380,2674,1,2,2021-06-21
LA COURNEUVE,93120,2675,3,4,2021-08-19
SURESNES ,92158,2676,5,2,2021-11-22
PIERREFITTE SUR SEINE,93380,2677,3,5,2022-02-07
VILLEMOMBLE,93250,2678,1,8,2023-05-19
CHELLES,77500,2679,3,0,2023-07-25
TREMBLAY EN FRANCE,93290,2680,3,7,2023-09-22
PARIS 17EME ARRONDISSEMENT,75017,2681,1,2,2023-12-11
BOIS COLOMBES,92270,2682,3,9,2018-10-09
PIERREFITTE SUR SEINE,93380,2683,3,7,2018-12-19
STAINS,93240,2684,3,1,2019-03-06
FRANCONVILLE,95130,2685,3,9,2019-06-29
SARCELLES,95200,2686,3,6,2019-08-10
VILLEPINTE,93420,2687,3,0,2019-10-01
BAGNOLET,93170,2688,3,3,2019-11-21
STAINS,93240,2689,3,9,2020-01-09
LA CHAPELLE ST MESMIN,45380,2690,5,10,2020-03-02
STAINS,93240,2691,3,8,2020-08-01
ASNIERES SUR SEINE,92600,2692,3,0,2020-09-28
BEZU ST ELOI,27660,2693,5,3,2021-01-11
LUZARCHES,95270,2694,3,3,2021-03-30
PIERREFITTE SUR SEINE,93380,2695,3,5,2021-06-21
HERBLAY,95220,2696,3,7,2021-08-19
SARCELLES,95200,2697,3,9,2022-02-07
PIERREFITTE SUR SEINE,93380,2698,3,10,2022-05-11
PARIS 17EME ARRONDISSEMENT,75017,2699,3,4,2022-08-01
ST BRICE SOUS FORET,95350,2700,1,8,2023-03-03
BEZONS,95870,2701,1,10,2023-07-25
ROZAY EN BRIE,77540,2702,3,7,2023-09-22
PIERREFITTE SUR SEINE,93380,2703,3,9,2023-12-11
BOULOGNE BILLANCOURT,92100,2704,2,9,2024-03-28
LE PRE ST GERVAIS,93310,2705,1,2,2024-07-01
DUGNY,93440,2706,3,5,2018-05-03
PIERREFITTE SUR SEINE,93380,2707,3,4,2019-03-07
ST BRICE SOUS FORET,95350,2708,3,3,2019-05-08
PIERREFITTE SUR SEINE,93380,2709,1,10,2019-08-10
GARGES LES GONESSE,95140,2710,3,2,2019-11-21
AUBERVILLIERS,93300,2711,3,6,2020-01-09
PARIS,75116,2712,5,7,2020-03-02
RUEIL MALMAISON,92500,2713,3,2,2020-05-15
EPINAY SUR SEINE,93800,2714,3,0,2020-06-18
BOBIGNY,93000,2715,1,4,2020-09-28
CERGY,95000,2716,3,9,2021-01-11
STAINS,93240,2717,1,2,2021-06-21
PARIS 20EME ARRONDISSEMENT,75020,2718,1,6,2021-08-19
VILLENEUVE LA GARENNE,92390,2719,1,4,2021-11-22
PIERREFITTE SUR SEINE,93380,2720,3,6,2022-05-12
DRANCY,93700,2721,3,8,2022-08-02
ROMAINVILLE,93230,2722,3,4,2022-11-21
PIERREFITTE SUR SEINE,93380,2723,3,9,2023-03-03
AULNAY SOUS BOIS,93600,2724,3,8,2023-05-20
NANTERRE,92000,2725,3,7,2023-07-25
ST BRICE SOUS FORET,95350,2726,3,10,2023-12-12
LES PAVILLONS SOUS BOIS,93320,2727,3,4,2024-03-29
ST DENIS,93200,2728,5,1,2024-07-01
GOUSSAINVILLE,95190,2729,3,10,2018-12-19
ARGENTEUIL,95100,2730,1,10,2019-03-07
ST DENIS,93200,2731,3,5,2019-07-01
GAGNY,93220,2732,3,7,2019-08-10
EZANVILLE,95460,2733,1,9,2019-11-22
ST FARGEAU PONTHIERRY,77310,2734,3,2,2020-01-09
BOBIGNY,93000,2735,3,2,2020-05-15
GROSLAY,95410,2736,2,5,2020-08-01
PIERREFITTE SUR SEINE,93380,2737,3,0,2021-01-12
PANTIN,93500,2738,1,0,2021-03-30
